line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,time,f1,f2,f3,gender
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.096,1404.931,2034.467,2903.221,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.097,927.076,1871.387,2573.087,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.098,1502.017,2153.691,2765.027,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.099,747.459,1717.13,2240.425,male
94,278.37959,e03_s1_seg,like_k-closure_eng_eng_d,like,k-closure,eng,eng,d,1,278.481437,0.10184700000002067,101.84700000002067,e03_a00_s1,e03,a00,s1,0.1,582.536,1501.411,2182.085,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.001,488.286,1187.75,2167.128,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.002,913.633,1693.143,2423.441,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.003,1006.413,1817.011,2507.363,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.004,369.131,1236.538,1982.003,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.005,673.686,1817.925,2513.409,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.006,415.582,1038.332,1957.255,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.007,676.925,1573.371,2398.432,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.008,805.629,1124.203,1543.118,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.009,584.797,1329.076,2041.379,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.01,1141.628,1755.563,2461.055,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.011,845.843,1551.312,2166.697,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.012,1075.965,1853.31,2574.832,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.013,1031.765,1763.026,2444.68,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.014,967.37,2240.977,2889.822,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.015,1024.539,1991.58,2624.242,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.016,384.712,1776.514,2474.261,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.017,896.396,1584.294,2147.565,male
95,278.481437,e03_s1_seg,like_k-burst_eng_eng_d,like,k-burst,eng,eng,d,1,278.520398,0.038960999999972046,38.960999999972046,e03_a00_s1,e03,a00,s1,0.018,895.351,1634.282,2311.945,male
