line,tmin,tier,text,word,sound,lang_pre,lang_post,type,presence,tmax,duration,duration_ms,file_name,pair,prompt,speaker,speaking,time,f1,f2,f3,gender
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.083,643.763,1667.989,2486.635,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.084,748.414,1939.03,2788.249,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.085,691.283,1492.591,2393.075,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.086,792.404,1576.129,2322.979,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.087,680.175,1656.449,2591.696,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.088,730.863,1436.475,2018.193,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.089,371.677,1194.455,1959.023,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.09,1022.221,1792.676,3448.07,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.091,1326.693,2043.299,3336.38,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.092,605.523,1515.983,2425.724,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.093,400.399,1890.227,2669.621,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.094,1036.95,1631.407,2344.016,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.095,727.93,1544.162,2428.916,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.096,1567.095,2259.302,2923.142,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.097,1382.895,2089.381,2696.886,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.098,1550.81,2202.634,3468.192,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.099,744.935,1553.971,2323.693,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.1,514.251,1426.797,2267.162,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.101,455.264,1413.519,2162.755,female
1,36.115096,e06_s1_seg,nanka_na_jap_jap,nanka,na,jap,jap,NA,1,36.218247,0.10315099999999688,103.15099999999688,e06_a00_s1,e06,a00,s1,s1,0.102,677.808,1383.971,2098.624,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.001,655.679,1437.65,2688.267,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.002,646.674,1220.956,1921.934,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.003,282.244,1100.859,1905.329,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.004,497.705,1299.319,2182.703,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.005,516.269,1748.568,2409.976,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.006,407.6,1732.855,1845.094,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.007,873.704,1716.539,2847.4,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.008,379.382,1113.588,3086.863,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.009,450.577,1445.607,3090.384,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.01,716.875,1449.907,2404.604,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.011,1449.968,2166.756,3951.492,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.012,894.309,1354.339,2087.018,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.013,649.714,1761.126,2237.165,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.014,391.059,1689.934,2526.638,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.015,1131.362,1856.468,2748.241,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.016,1173.601,1895.315,2915.905,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.017,873.445,946.323,1670.373,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.018,822.341,1495.969,2206.095,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.019,939.475,2555.546,3341.827,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.02,746.469,1637.63,2347.53,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.021,842.061,1578.967,2533.485,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.022,628.043,1164.819,1970.724,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.023,529.951,1493.755,2647.045,female
2,36.218247,e06_s1_seg,nanka_n_jap_jap,nanka,n,jap,jap,NA,1,36.30008,0.08183300000000315,81.83300000000315,e06_a00_s1,e06,a00,s1,s1,0.024,774.716,1489.253,2217.114,female
